,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Georgetown,MY,5.4112,100.3354,84.13,80,20,5.01,few clouds
1,Avarua,CK,-21.2078,-159.775,82.45,74,40,12.66,scattered clouds
2,Vila Velha,BR,-20.3297,-40.2925,76.95,86,0,8.05,clear sky
3,Ushuaia,AR,-54.8,-68.3,49.66,57,20,16.11,few clouds
4,Kaitangata,NZ,-46.2817,169.8464,54.93,57,45,8.43,scattered clouds
5,Uige,AO,-7.6087,15.0613,63.75,98,73,2.17,light rain
6,Juba,SS,4.8517,31.5825,69.96,23,100,2.66,overcast clouds
7,Saint-Augustin,CA,51.226,-58.6502,2.39,88,100,18.39,overcast clouds
8,Bethel,US,41.3712,-73.414,21.04,64,0,1.99,clear sky
9,Atuona,PF,-9.8,-139.0333,78.69,78,38,20.87,light rain
10,Punta Arenas,CL,-53.15,-70.9167,55.51,54,40,16.11,scattered clouds
11,New Norfolk,AU,-42.7826,147.0587,73.71,37,0,1.99,clear sky
12,Christchurch,NZ,-43.5333,172.6333,61.95,67,100,1.01,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,67.08,73,0,2.3,clear sky
14,Beringovskiy,RU,63.05,179.3167,-10.07,94,76,13.15,broken clouds
15,Kapaa,US,22.0752,-159.319,79.12,66,0,3.0,clear sky
16,Esperance,AU,-33.8667,121.9,91.24,33,0,11.41,clear sky
17,Vardo,NO,70.3705,31.1107,26.92,79,100,28.05,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,36,5.99,scattered clouds
19,Faanui,PF,-16.4833,-151.75,79.81,76,18,19.19,moderate rain
20,Yellowknife,CA,62.456,-114.3525,-16.58,78,0,8.05,clear sky
21,Tulagi,SB,-9.0996,160.1476,84.0,72,78,7.87,broken clouds
22,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,99,19.24,light rain
23,Hithadhoo,MV,-0.6,73.0833,81.81,73,2,8.41,clear sky
24,Victoria,HK,22.2855,114.1577,65.17,78,99,1.01,overcast clouds
25,Tsiroanomandidy,MG,-18.7667,46.0333,67.12,95,100,7.72,light rain
26,Albany,US,42.6001,-73.9662,10.81,72,5,5.97,clear sky
27,Saskylakh,RU,71.9167,114.0833,-30.35,100,97,3.02,overcast clouds
28,Gizo,SB,-8.103,156.8419,86.49,69,100,9.86,overcast clouds
29,Olenegorsk,RU,68.15,33.3,9.64,96,100,5.75,overcast clouds
30,Sao Filipe,CV,14.8961,-24.4956,72.75,73,0,11.39,clear sky
31,Scottsbluff,US,41.8666,-103.6672,37.29,57,0,5.99,clear sky
