City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
1,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
2,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
9,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
11,New Norfolk,AU,73.71,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
15,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Faanui,PF,79.81,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Tulagi,SB,84.0,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
22,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Hithadhoo,MV,81.81,clear sky,-0.6,73.0833,Scoop Guest House
28,Gizo,SB,86.49,overcast clouds,-8.103,156.8419,Imagination Island
30,Sao Filipe,CV,72.75,clear sky,14.8961,-24.4956,Hotel Xaguate
34,Butaritari,KI,82.83,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
36,Tocache,PE,70.39,broken clouds,-8.1842,-76.5125,Hotel Ortiz
38,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
43,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
45,Malpe,IN,70.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
47,Hobart,AU,74.05,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
48,Busselton,AU,74.05,broken clouds,-33.65,115.3333,Observatory Guest House
57,Lorengau,PG,82.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Dingle,PH,82.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
64,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
66,Rikitea,PF,79.43,overcast clouds,-23.1203,-134.9692,People ThankYou
67,Mirandopolis,BR,73.02,overcast clouds,-21.1336,-51.1017,Hotel Piriquitu's
69,La Primavera,CO,84.06,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
70,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
75,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
76,Sao Miguel,BR,80.92,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
82,Hermanus,ZA,71.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Salalah,OM,71.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
84,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
89,Port Macquarie,AU,72.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
97,Ahipara,NZ,74.57,light rain,-35.1667,173.1667,Ahipara Holiday Park
100,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
103,Pangkalanbuun,ID,89.38,light rain,-2.6833,111.6167,Grand Kecubung Hotel
104,Arraial Do Cabo,BR,76.41,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
107,Codrington,AU,79.2,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
108,Kavieng,PG,83.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
109,Bengkulu,ID,74.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
